3120870,CURRAL DE DENTRO,7656,"0,585","7681,34"
3120904,CURVELO,79625,"0,713","17355,89"
3121001,DATAS,5399,"0,616","8920,22"
3121100,DELFIM MOREIRA,8035,"0,669","10277,06"
3121209,DELFINOPOLIS,7098,"0,74","18434,95"
3121258,DELTA,10291,"0,639","32370,96"
3121308,DESCOBERTO,4996,"0,68","10563,99"
3121407,DESTERRO DE ENTRE RIOS,7232,"0,639","8940,97"
3121506,DESTERRO DO MELO,2919,"0,631","11209,49"
3121605,DIAMANTINA,47617,"0,716","13902,67"
3121704,DIOGO DE VASCONCELOS,3814,"0,601","7598,89"
3121803,DIONISIO,7852,"0,702","7809,75"
3121902,DIVINESIA,3411,"0,657","10289,32"
3122009,DIVINO,19884,"0,605","11341,8"
3122108,DIVINO DAS LARANJEIRAS,4984,"0,661","8315,24"
3122207,DIVINOLANDIA DE MINAS,7527,"0,623","6913,9"
3122306,DIVINOPOLIS,235977,"0,764","23729,9"
3122355,DIVISA ALEGRE,6702,"0,608","10604,28"
3122405,DIVISA NOVA,5996,"0,67","12290,95"
3122454,DIVISOPOLIS,10820,"0,609","5671,06"
3122470,DOM BOSCO,3699,"0,673","11921,02"
3122504,DOM CAVATI,5097,"0,688","9136,73"
3122603,DOM JOAQUIM,4482,"0,622","8813,17"
3122702,DOM SILVERIO,5243,"0,709","13641,78"
3122801,DOM VICOSO,3007,"0,687","8565,05"
3122900,DONA EUSEBIA,6523,"0,701","10152,58"
3123007,DORES DE CAMPOS,10081,"0,686","21690,39"
3123106,DORES DE GUANHAES,5185,"0,636","13504,37"
3123205,DORES DO INDAIA,13541,"0,719","13669,8"
3123304,DORES DO TURVO,4289,"0,629","8656,66"
3123403,DORESOPOLIS,1521,"0,692","34573,25"
3123502,DOURADOQUARA,1905,"0,706","25657,63"
3123528,DURANDE,7811,"0,645","10678,42"
3123601,ELOI MENDES,27823,"0,685","16755,9"
3123700,ENGENHEIRO CALDAS,11064,"0,644","9847,09"
3123809,ENGENHEIRO NAVARRO,7244,"0,655","8889,75"
